uri	input	ruleId	fp
d	d	d	d
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/manager/html	REQUEST_HEADERS:Host	960017	True
/manager/html	REQUEST_HEADERS:Host	960017	True
/manager/html	REQUEST_HEADERS:Host	960017	True
/manager/html	REQUEST_HEADERS:Host	960017	True
/manager/html	REQUEST_HEADERS:Host	960017	True
/manager/html	REQUEST_HEADERS:Host	960017	True
/manager/html	REQUEST_HEADERS:Host	960017	True
/manager/html	REQUEST_HEADERS:Host	960017	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
